evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2452
"{""nci"":""supported""}",old_monoallelic__roc__regime_2628,supported,old_monoallelic__roc__regime_2452
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_2452
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2452
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1225,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1575,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1926,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2154,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2276,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2278,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2279,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2327,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2452,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2628,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2679,not_supported,old_monoallelic__roc__regime_2503
"{""nci"":""supported""}",old_monoallelic__roc__regime_1225,supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_1575,supported,old_monoallelic__roc__regime_2625
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_2625
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_1926,supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2154,supported,old_monoallelic__roc__regime_2625
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2276,supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2278,supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2279,supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2327,supported,old_monoallelic__roc__regime_2625
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_2625
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2452,supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2503,supported,old_monoallelic__roc__regime_2625
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2628,supported,old_monoallelic__roc__regime_2625
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2625
"{""nci"":""supported""}",old_monoallelic__roc__regime_1225,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_1575,supported,old_monoallelic__roc__regime_2626
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_2626
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_1926,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2154,supported,old_monoallelic__roc__regime_2626
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2276,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2278,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2279,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2327,supported,old_monoallelic__roc__regime_2626
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_2626
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2452,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2503,supported,old_monoallelic__roc__regime_2626
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2628,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2652,supported,old_monoallelic__roc__regime_2626
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2626
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1225,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1575,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1926,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2154,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2276,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""supported""}",old_monoallelic__roc__regime_2278,supported,old_monoallelic__roc__regime_2628
"{""nci"":""supported""}",old_monoallelic__roc__regime_2279,supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2327,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2452,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""supported""}",old_monoallelic__roc__regime_2503,supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_2628
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2628
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1225,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_1575,supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_1926,supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2154,supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2276,supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2278,supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2279,supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2327,supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2452,supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2503,supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2628,supported,old_monoallelic__roc__regime_2652
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2652
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1225,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1575,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1926,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2154,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2276,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2278,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2279,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2327,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2451,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2452,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2503,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2628,not_supported,old_monoallelic__roc__regime_2679
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_2679
